enterprise_id,as_of,mira_score,band,stress_prob_3m,s1_cashflow,s2_repayment,s3_digital,s4_market,s5_climate,savings_balance,drivers_json
46,2026-06,89.5,green,0.0555,79.9,94.2,40.6,50.0,83.3,62621,"[{""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 1.357}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""up"", ""magnitude"": 0.7992}, {""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 0.7615}]"
47,2026-06,98.0,green,0.0034,88.0,100.0,100.0,50.0,74.8,53167,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 1.7121}, {""feature"": ""income_rmean6"", ""label_en"": ""Income level"", ""label_hi"": ""आमदनी स्तर"", ""direction"": ""down"", ""magnitude"": 1.1247}, {""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""down"", ""magnitude"": 0.8903}]"
48,2026-06,98.0,green,0.0493,90.2,100.0,57.9,50.0,83.3,82829,"[{""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""up"", ""magnitude"": 1.942}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.1129}, {""feature"": ""txn_count"", ""label_en"": ""Digital transaction volume"", ""label_hi"": ""डिजिटल लेन-देन"", ""direction"": ""down"", ""magnitude"": 1.0439}]"
49,2026-06,87.7,green,0.036,89.9,100.0,14.6,50.0,74.8,75267,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 2.2524}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""up"", ""magnitude"": 1.0477}, {""feature"": ""txn_count"", ""label_en"": ""Digital transaction volume"", ""label_hi"": ""डिजिटल लेन-देन"", ""direction"": ""down"", ""magnitude"": 0.7184}]"
50,2026-06,67.8,amber,0.077,64.2,82.5,33.6,50.0,83.3,60736,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 2.1877}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""up"", ""magnitude"": 1.0167}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 0.9702}]"
51,2026-06,95.2,green,0.0656,88.1,100.0,38.2,50.0,74.8,96997,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 1.2183}, {""feature"": ""net_cf_rmean3"", ""label_en"": ""3-month cash average"", ""label_hi"": ""3-माह औसत नक़दी"", ""direction"": ""down"", ""magnitude"": 0.8074}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 0.7825}]"
52,2026-06,89.5,green,0.0436,82.9,100.0,25.0,50.0,83.3,95902,"[{""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""up"", ""magnitude"": 1.3038}, {""feature"": ""txn_count"", ""label_en"": ""Digital transaction volume"", ""label_hi"": ""डिजिटल लेन-देन"", ""direction"": ""down"", ""magnitude"": 0.9415}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 0.7027}]"
53,2026-06,74.8,green,0.0672,61.7,97.1,36.4,50.0,79.7,30677,"[{""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 1.8555}, {""feature"": ""txn_value_index"", ""label_en"": ""Digital sales value"", ""label_hi"": ""डिजिटल बिक्री"", ""direction"": ""down"", ""magnitude"": 1.7048}, {""feature"": ""inflow_outflow"", ""label_en"": ""Money in vs out"", ""label_hi"": ""आय बनाम खर्च"", ""direction"": ""down"", ""magnitude"": 1.3201}]"
54,2026-06,84.3,green,0.0871,73.3,100.0,36.8,50.0,76.8,75882,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""up"", ""magnitude"": 5.8686}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 2.8705}, {""feature"": ""txn_value_index"", ""label_en"": ""Digital sales value"", ""label_hi"": ""डिजिटल बिक्री"", ""direction"": ""down"", ""magnitude"": 1.6204}]"
55,2026-06,83.5,green,0.0584,72.1,100.0,34.0,50.0,79.7,102872,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.7979}, {""feature"": ""txn_value_index"", ""label_en"": ""Digital sales value"", ""label_hi"": ""डिजिटल बिक्री"", ""direction"": ""down"", ""magnitude"": 1.5067}, {""feature"": ""payer_diversity"", ""label_en"": ""Buyer diversity"", ""label_hi"": ""ख़रीदार विविधता"", ""direction"": ""down"", ""magnitude"": 1.1335}]"
56,2026-06,76.8,green,0.0794,68.3,100.0,26.6,50.0,76.8,104856,"[{""feature"": ""payer_diversity"", ""label_en"": ""Buyer diversity"", ""label_hi"": ""ख़रीदार विविधता"", ""direction"": ""down"", ""magnitude"": 1.2925}, {""feature"": ""txn_value_index"", ""label_en"": ""Digital sales value"", ""label_hi"": ""डिजिटल बिक्री"", ""direction"": ""down"", ""magnitude"": 1.2839}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.1687}]"
57,2026-06,73.8,green,0.056,68.7,88.3,34.6,50.0,79.7,154068,"[{""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 6.1759}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.7122}, {""feature"": ""income_rmean6"", ""label_en"": ""Income level"", ""label_hi"": ""आमदनी स्तर"", ""direction"": ""up"", ""magnitude"": 1.444}]"
58,2026-06,80.1,green,0.0809,65.3,79.6,75.5,50.0,76.8,138687,"[{""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""up"", ""magnitude"": 1.339}, {""feature"": ""txn_slope_3m"", ""label_en"": ""Digital activity trend"", ""label_hi"": ""डिजिटल गतिविधि रुझान"", ""direction"": ""up"", ""magnitude"": 1.1616}, {""feature"": ""txn_value_index"", ""label_en"": ""Digital sales value"", ""label_hi"": ""डिजिटल बिक्री"", ""direction"": ""down"", ""magnitude"": 0.989}]"
59,2026-06,63.2,amber,0.0404,67.4,100.0,7.0,50.0,62.2,223966,"[{""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 3.4118}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 2.8653}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""up"", ""magnitude"": 1.4093}]"
60,2026-06,68.7,amber,0.0823,67.1,82.5,36.7,50.0,76.8,124621,"[{""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 6.2024}, {""feature"": ""income_rmean6"", ""label_en"": ""Income level"", ""label_hi"": ""आमदनी स्तर"", ""direction"": ""up"", ""magnitude"": 2.1068}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.8119}]"
61,2026-06,82.6,green,0.0444,72.5,100.0,31.0,50.0,79.7,138076,"[{""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""down"", ""magnitude"": 1.1352}, {""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 1.0806}, {""feature"": ""net_cf_rmean3"", ""label_en"": ""3-month cash average"", ""label_hi"": ""3-माह औसत नक़दी"", ""direction"": ""down"", ""magnitude"": 0.9307}]"
62,2026-06,81.4,green,0.0847,70.8,100.0,33.9,50.0,76.8,132547,"[{""feature"": ""txn_value_index"", ""label_en"": ""Digital sales value"", ""label_hi"": ""डिजिटल बिक्री"", ""direction"": ""down"", ""magnitude"": 1.5204}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.3671}, {""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 1.349}]"
63,2026-06,84.3,green,0.0578,73.1,100.0,34.2,50.0,79.7,123027,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 2.0937}, {""feature"": ""txn_value_index"", ""label_en"": ""Digital sales value"", ""label_hi"": ""डिजिटल बिक्री"", ""direction"": ""down"", ""magnitude"": 1.2502}, {""feature"": ""txn_count"", ""label_en"": ""Digital transaction volume"", ""label_hi"": ""डिजिटल लेन-देन"", ""direction"": ""up"", ""magnitude"": 0.603}]"
64,2026-06,64.0,amber,0.109,66.7,100.0,10.4,50.0,62.2,145616,"[{""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 1.7933}, {""feature"": ""txn_count"", ""label_en"": ""Digital transaction volume"", ""label_hi"": ""डिजिटल लेन-देन"", ""direction"": ""up"", ""magnitude"": 1.6285}, {""feature"": ""income_rmean6"", ""label_en"": ""Income level"", ""label_hi"": ""आमदनी स्तर"", ""direction"": ""up"", ""magnitude"": 1.3174}]"
